ONTOLOGY,TERM,N,DE,P.DE,FDR
BP,regulation of heterotypic cell-cell adhesion,26,4,5.39983730160189e-05,1
BP,regulation of leukocyte cell-cell adhesion,328,9,0.000255489464042054,1
BP,regulation of cell-cell adhesion,438,11,0.000345712568092537,1
BP,regulation of T cell activation,331,9,0.000362977300996037,1
BP,T cell activation,482,11,0.000405272869410917,1
BP,T cell differentiation,253,8,0.000452631041646784,1
BP,leukocyte cell-cell adhesion,363,9,0.000515345341199699,1
BP,regulation of lymphocyte activation,440,10,0.000598235627223053,1
BP,positive regulation of T cell activation,213,7,0.000673311033315337,1
BP,positive regulation of cell adhesion,426,11,0.00067962453553558,1
BP,lymphocyte differentiation,367,9,0.000846983828848144,1
BP,response to leukemia inhibitory factor,97,5,0.000882567714671949,1
BP,cellular response to leukemia inhibitory factor,97,5,0.000882567714671949,1
BP,positive regulation of cell-cell adhesion,278,8,0.000949252367157515,1
BP,positive regulation of leukocyte cell-cell adhesion,234,7,0.0011345711730652,1
BP,muscle organ development,405,10,0.00129549783218145,1
BP,heterotypic cell-cell adhesion,62,4,0.00136378880682862,1
BP,alpha-beta T cell differentiation,106,5,0.00146222971814628,1
BP,lymphocyte activation,687,12,0.00185660121739796,1
BP,negative regulation of telomere capping,8,2,0.00193664447471233,1
BP,regulation of leukocyte activation,528,10,0.00207863805058966,1
BP,regulation of cell adhesion,734,14,0.00267600144903997,1
BP,dCTP catabolic process,1,1,0.00287222205980842,1
BP,dCTP metabolic process,1,1,0.00287222205980842,1
BP,negative regulation of heterotypic cell-cell adhesion,11,2,0.00293088109237065,1
BP,regulation of cell-cell adhesion involved in gastrulation,11,2,0.00293088109237065,1
BP,peptidyl-serine autophosphorylation,8,2,0.00304289715152776,1
BP,positive regulation of lymphocyte activation,282,7,0.00311011913357507,1
BP,cell-cell adhesion involved in gastrulation,12,2,0.00322953181720459,1
BP,alpha-beta T cell activation,145,5,0.00386114194990942,1
BP,CD4-positive, alpha-beta T cell activation,97,4,0.00414863586987912,1
BP,regulation of cell activation,573,10,0.00422223437746275,1
BP,positive regulation of T cell differentiation,92,4,0.00443076480268658,1
BP,negative regulation of transforming growth factor beta receptor signaling pathway,87,4,0.00461351754975892,1
BP,regulation of T cell differentiation,150,5,0.00477615974221296,1
BP,seryl-tRNA aminoacylation,2,1,0.00490955486381346,1
BP,lymphocyte proliferation,282,6,0.00505677987469921,1
BP,mononuclear cell proliferation,285,6,0.00522637431919538,1
BP,negative regulation of cellular response to transforming growth factor beta stimulus,89,4,0.00529372825273733,1
BP,positive regulation of leukocyte activation,329,7,0.00577468175291598,1
BP,thymus development,46,3,0.00652919927574737,1
BP,T cell costimulation,55,3,0.00659969573929062,1
BP,lymphocyte costimulation,57,3,0.00684594520317709,1
BP,adipose tissue development,44,3,0.00694564446030449,1
BP,negative regulation of I-kappaB kinase/NF-kappaB signaling,53,3,0.00697054511615628,1
BP,positive regulation of cell activation,344,7,0.00708323962537446,1
BP,post-embryonic development,86,4,0.00712783707802625,1
BP,positive regulation of heterotypic cell-cell adhesion,16,2,0.00730414976623992,1
BP,positive regulation of lymphocyte differentiation,104,4,0.00741937463048292,1
BP,V(D)J recombination,15,2,0.00769590528010178,1
BP,hematopoietic or lymphoid organ development,961,14,0.00771263268658842,1
BP,cell activation,1402,17,0.00808368493035194,1
BP,leukocyte proliferation,312,6,0.00852355111433788,1
BP,eukaryotic translation initiation factor 2 complex assembly,1,1,0.00861678655949224,1
BP,phosphatidylinositol-3-phosphate biosynthetic process,14,2,0.00869519636036669,1
BP,I-kappaB kinase/NF-kappaB signaling,286,6,0.00876994127028492,1
BP,negative regulation of striated muscle tissue development,61,3,0.00892530305370903,1
BP,regulation of lymphocyte differentiation,180,5,0.00895212817111212,1
BP,selenocysteinyl-tRNA(Sec) biosynthetic process,4,1,0.00917495506529747,1
BP,negative regulation of muscle organ development,62,3,0.00964510896585894,1
BP,positive regulation of autophagy in response to ER overload,1,1,0.00971128184852384,1
BP,regulation of toll-like receptor signaling pathway,72,3,0.0100611842054211,1
BP,leukocyte activation,1241,15,0.0101858927756617,1
BP,pyrimidine nucleoside triphosphate catabolic process,3,1,0.0103192086851329,1
BP,pyrimidine deoxyribonucleoside triphosphate catabolic process,3,1,0.0103192086851329,1
BP,negative regulation of muscle tissue development,64,3,0.0110774702096848,1
BP,immune system development,1016,14,0.0114220517577713,1
BP,leukocyte differentiation,537,9,0.0122267381639128,1
BP,toll-like receptor signaling pathway,150,4,0.0125525782330922,1
BP,negative regulation of 3'-UTR-mediated mRNA stabilization,1,1,0.0134624878687632,1
BP,negative regulation of cardiac muscle cell proliferation,23,2,0.0136550701763891,1
BP,regulation of tolerance induction to self antigen,1,1,0.0138814646629198,1
BP,positive regulation of tolerance induction to self antigen,1,1,0.0138814646629198,1
BP,inferior endocardial cushion morphogenesis,1,1,0.0138814646629198,1
BP,T cell receptor signaling pathway,197,5,0.0140694608890622,1
BP,regulation of cellular response to gamma radiation,1,1,0.0143794669080924,1
BP,tarsal gland development,1,1,0.0151489401449408,1
BP,uterine gland development,1,1,0.0151489401449408,1
BP,zinc ion homeostasis,39,2,0.0153282232824664,1
BP,leukocyte homeostasis,86,3,0.0156521140776133,1
