cpg,BETA.GSE40279,SE.GSE40279,T.GSE40279,P.GSE40279,BETA.CAScov0,SE.CAScov0,T.CAScov0,P.CAScov0,CHR,BP,SYMBOL,ENSEMBL
cg04457792,186.2894627,17.82902929,10.44865986,1.01E-23,33.99802449,15.05013819,2.258984207,0.024085361,chr10,102473207,PAX2,ENSG00000075891
cg11983867,310.8882253,31.01626374,10.02339379,4.56E-22,92.95070865,23.05367159,4.031926467,5.93E-05,chr7,22539820,STEAP1B,ENSG00000105889
cg24960149,127.4123994,13.16196069,9.680351011,8.54E-21,29.24842039,12.52228851,2.335708873,0.019690775,chr7,156786278,MNX1,ENSG00000130675
cg17982116,190.3845622,19.69307342,9.667590129,1.00E-20,34.98245995,16.16542483,2.164029732,0.030683187,chr5,72747699,BTF3,ENSG00000145741
cg07098528,157.7503655,16.57931282,9.514891677,3.53E-20,46.54629247,15.62642207,2.978691621,0.002960233,chr1,203241948,CHIT1,ENSG00000133063
cg00644317,145.4915769,15.42945895,9.429467185,7.26E-20,55.94241967,15.3277993,3.649735919,0.00027521,chr7,27237893,HOXA13,ENSG00000106031
cg00413250,138.170489,14.72293874,9.384708542,1.06E-19,52.01844423,14.49112909,3.589675028,0.000346127,chr16,13155767,SHISA9,ENSG00000237515
cg10244525,134.4419292,14.37595174,9.351862866,1.37E-19,39.21464402,13.33622864,2.940459787,0.003347881,chr2,237146748,ASB18,ENSG00000182177
cg03046886,116.6913696,12.59280118,9.266514095,2.83E-19,35.4512282,11.87947218,2.984242706,0.002907491,chr1,18869151,KLHDC7A,ENSG00000179023
cg15542784,127.167164,13.79984126,9.215117882,4.33E-19,30.77510537,14.95633031,2.057664195,0.039864689,chr4,41750722,PHOX2B,ENSG00000109132
cg14523898,104.7463622,11.37755691,9.206401961,4.63E-19,21.29642456,9.550351213,2.229910093,0.025960647,chr1,38220138,EPHA10,ENSG00000183317
cg07984286,197.931674,21.60874451,9.15979519,6.72E-19,36.21872788,16.25262844,2.228484335,0.026055774,chr16,54317760,IRX3,ENSG00000177508
cg11229872,254.188806,27.7817373,9.149492823,7.45E-19,54.79939004,26.53375252,2.065271016,0.039138225,chr2,175195899,LINC01305,ENSG00000231453
cg02600430,209.0081833,22.89090582,9.130620905,8.79E-19,61.77066682,21.32591856,2.89650674,0.003850382,chr13,100623942,ZIC5,ENSG00000139800
cg06753901,90.72521273,9.985531686,9.085666701,1.25E-18,37.24269345,7.751640342,4.804491928,1.77E-06,chr2,226265132,NYAP2,ENSG00000144460
cg15652723,202.2041113,22.26130433,9.083210416,1.27E-18,80.85409246,21.73726516,3.719607405,0.000209913,chr4,111560494,PITX2,ENSG00000164093
cg01286665,113.4567342,12.49610112,9.079370686,1.33E-18,35.42211442,12.46102482,2.842632522,0.004559471,chr5,54525925,CCNO,ENSG00000152669
cg12664770,118.7764399,13.13809171,9.04061583,1.80E-18,33.18272292,12.38968185,2.678254641,0.007514299,chr3,14642025,CCDC174,ENSG00000154781
cg09276363,162.9833306,18.12543579,8.991967554,2.65E-18,34.98943874,15.04712286,2.325324187,0.020241246,chr1,112531488,KCND3,ENSG00000171385
cg16277169,123.0046831,13.69244657,8.983396976,2.83E-18,26.98735655,12.54029442,2.152051272,0.031616909,chr12,115112189,TBX3,ENSG00000135111
cg16204205,155.8437135,17.39866192,8.95722408,3.56E-18,34.39510238,15.37410653,2.237209838,0.025478301,chr18,19753432,GATA6,ENSG00000141448
