cpg,p.value,stderr,parameter,statistic,group1,group2,conf1,conf2,CHR,BP,SYMBOL
cg21109038,3.97E-08,0.005593417,81.67309962,-6.061814288,0.009995645,0.043901901,-0.045034011,-0.0227785,chr15,90543610,ZNF710
cg18790597,9.09E-08,0.002207128,118.6807258,-5.695383167,0.010687828,0.02325827,-0.016940897,-0.008199987,chr4,17783331,FAM184B
cg26144658,2.24E-07,0.004427886,101.3629677,-5.555313184,0.018222495,0.042820788,-0.033381646,-0.01581494,chr5,121647642,SNCAIP
cg24367628,3.76E-07,0.002848492,106.5121156,-5.418418187,0.011750264,0.027184586,-0.021081421,-0.009787222,chr1,178062811,RASAL2-AS1
cg27467929,5.08E-07,0.004177557,100.3640091,-5.370809157,0.016569043,0.039005904,-0.030724647,-0.014149075,chr8,68864529,PREX2
cg15688396,5.34E-07,0.00274459,110.7858136,-5.325014308,0.013216864,0.027831843,-0.020053683,-0.009176276,chr3,116163925,LSAMP
cg19794507,6.03E-07,0.00271757,122.7648031,-5.26591948,0.015649197,0.029959703,-0.019689873,-0.00893114,chr12,54391285,HOXC9
cg20367712,6.90E-07,0.005109336,111.1238937,-5.265605762,0.022345604,0.049249352,-0.037028113,-0.016779382,chr4,54967809,GSX2
cg23588121,6.91E-07,0.006551325,100.2757528,-5.299449929,0.026776892,0.061495309,-0.047715621,-0.021721213,chr6,100905038,SIM1
cg04209911,7.31E-07,0.002744742,112.8500434,-5.247490916,0.013732883,0.028135889,-0.019840912,-0.0089651,chr1,177140145,BRINP2
cg13265789,7.76E-07,0.003392151,118.4200701,-5.219205505,0.017165833,0.034870165,-0.024421468,-0.010987197,chr4,96470584,UNC5C
cg06510438,8.21E-07,0.002759075,122.0186606,-5.197815363,0.015056757,0.029397919,-0.019803019,-0.008879306,chr18,11149763,PIEZO2
cg17756105,8.34E-07,0.006700734,121.7428611,-5.194979935,0.029312722,0.064122899,-0.04807523,-0.021545125,chr7,3613164,SDK1
cg09009536,8.56E-07,0.002690947,119.719582,-5.193673231,0.014724808,0.028700704,-0.019303911,-0.008647883,chr4,66535383,EPHA5
cg05293994,8.87E-07,0.002280618,112.4121862,-5.204156209,0.011802801,0.023671493,-0.016387263,-0.007350121,chr7,122526843,CADPS2
cg15580724,9.36E-07,0.002645222,103.1888491,-5.218684195,0.010866052,0.024670631,-0.019050639,-0.008558519,chr11,100557996,ARHGAP42
cg07028914,9.80E-07,0.005060096,108.3939587,-5.192196206,0.024892672,0.051165682,-0.036302584,-0.016243435,chr6,85474090,TBX18
cg05876738,1.01E-06,0.002368157,109.6598989,-5.181403475,0.011421556,0.023691931,-0.016963668,-0.007577083,chr7,93204347,CALCR
